id,Title,Director,Vote_Average,Genre,Year,Original_Language,Overview,Poster_Url,Trailer,Price
37,Top Gun - Ases Indomáveis,Tony Scott,7.1,Ação,1986,Inglês,"A escola naval de pilotos é onde o melhor dos melhores treinam para refinar suas habilidades de voo de elite. Quando o piloto Maverick é enviado para a escola, sua atitude irresponsável e comportamento arrogante o colocam em desacordo com os outros pilotos, especialmente Iceman. Porém Maverick não está apenas competindo para ser o piloto superior de caça, ele também está lutando pela atenção de sua bonita instrutora de voo, Charlotte Blackwood.",https://image.tmdb.org/t/p/w500/dDrMtnVgtDeecIgNchb9F8JcO5w.jpg,https://www.youtube.com/watch?v=JAOPq2FF2-A,11
38,A Pequena Sereia,Ron Clements,7.4,Animação,1989,Inglês,"Ariel é a filha caçula do Rei Tritão, comandante dos sete mares, que está insatisfeita com sua vida. Ela deseja caminhar entre os humanos para conhecê-los melhor, mas sempre é proibida por seu pai, que considera os humanos como sendo ""bárbaros comedores de peixe"". Até que ela se apaixona por um jovem príncipe e, no intuito de conhecê-lo, resolve firmar um pacto com Úrsula, a bruxa do reino, que faz com que ela ganhe pernas e se torne uma verdadeira humana. Porém, Úrsula também tem seus planos e eles incluem a conquista do reino de Tritão.",https://image.tmdb.org/t/p/w500/bl0XvEAEJ2mSUzNFuieyu1gvTXs.jpg,https://www.youtube.com/watch?v=sMwqPN37uss,13
39,Indiana Jones e a Última Cruzada,Steven Spielberg,7.8,Aventura,1989,Inglês,"O arqueólogo Indiana Jones tem acesso à um misterioso envelope que contém informações sobre a localização do lendário Santo Graal, o cálice que Jesus Cristo teria utilizado na Última Ceia. Quando seu pai, o professor Henry Jones, é sequestrado pelos nazistas, o aventureiro irá embarcar numa missão perigosa para salvá-lo e impedir que a relíquia sagrada caia em mãos erradas.",https://image.tmdb.org/t/p/w500/9H79Cq97WwiY7FB51jPH65sX3hp.jpg,https://www.youtube.com/watch?v=96YggAgcbiA,16
40,Karatê Kid 2: A Hora da Verdade Continua,John G. Avildsen,6.3,Aventura,1986,Inglês,"Ao descobrir que seu pai está à beira da morte, o professor Miyagi volta para Okinawa, no Japão, junto com seu aprendiz, Daniel LaRusso. Na terra natal, o mestre de caratê é surpreendido com a notícia de que Yukie, seu grande e antigo amor, está solteira.",https://image.tmdb.org/t/p/w500/4Mx62yRDa1g2VrPgvrursLkOXFI.jpg,https://www.youtube.com/watch?v=7JThIopc8GA,11
41,Dirty Dancing: Ritmo Quente,Emile Ardolino,7.3,Drama,1987,Inglês,"Na esperança de curtir sua juventude, uma jovem fica decepcionada ao descobrir que seus pais passarão o verão de 1963 com ela em um resort na sonolenta região de Catskills. Mas sua sorte muda quando ela conhece o instrutor de dança do resort, Johnny, um rapaz com um passado bem diferente do dela. Quando ele a coloca como sua nova parceira, os dois acabam se apaixonando. Apesar do pai proibi-la de ver Johnny, ela não dá a mínima.",https://image.tmdb.org/t/p/w500/mUVIRUpqKQa8uKDgyYrQHs6rlbz.jpg,https://www.youtube.com/watch?v=ILH8KT0lbSA,14
42,Akira,大友克洋,7.9,Animação,1988,Japonês,"Uma grande explosão fez com que Tóquio fosse destruída em 1988. Em seu lugar, foi construída Neo-Tóquio, que, em 2019, sofre com atentados terroristas por toda a cidade. Kaneda e Tetsuo são amigos que integram uma gangue de motoqueiros. Eles disputam rachas violentos com uma gangue rival, os Palhaços, até que um dia, Tetsuo encontra Takashi, uma estranha criança com poderes que fugiu do hospital onde era mantido como cobaia. Tetsuo é ferido no encontro e, antes de receber a ajuda dos amigos, é levado por integrantes do exército, liderados pelo coronel Shikishima. A partir de então, Tetsuo passa a desenvolver poderes inimagináveis, o que faz com que seja comparado ao lendário Akira, responsável pela explosão de 1988. Paralelamente, Kaneda se interessa por Kei, uma garota envolvida com espiões, que tenta decifrar o enigma por trás das cobaias controladas pelo exército.",https://image.tmdb.org/t/p/w500/tbwwTQ3EqSdotbQ3ZcIl6vKBv7q.jpg,https://www.youtube.com/watch?v=ooKBenGK3R4,12
43,Nascido Para Matar,Stanley Kubrick,8.1,Drama,1987,Inglês,"Um sargento treina de forma fanática e sádica os recrutas em uma base de treinamentos, na intenção de transformá-los em máquinas de guerra para combater na Guerra do Vietnã. Após serem transformados em fuzileiros navais, eles são enviados para a guerra e quando lá chegam se deparam com seus horrores.",https://image.tmdb.org/t/p/w500/qHm54HjL1F6CFVyYOz6Q2HAPTfS.jpg,https://www.youtube.com/watch?v=ElJKZqnJsU4,16
44,De Volta para o Futuro II,Robert Zemeckis,7.8,Aventura,1989,Inglês,"Uma despretensiosa visita de McFly e Doc ao ano de 2015 revela alguns problemas com a futura família de McFly. Mas quando os dois voltam para casa, logo descobrem que alguém alterou a linha temporal e criou uma terrível Hill Valley em 1985. A única esperança é poder voltar de novo para o ano de 1995 e salvar o futuro.",https://image.tmdb.org/t/p/w500/CZjdqLtH1qsuzt8ouCFUJv88hT.jpg,https://www.youtube.com/watch?v=o7GYCOOS1pc,11
45,Brinquedo Assassino,Tom Holland,6.7,Terror,1988,Inglês,"Após a babá do garotinho de seis anos, Andy Barclay, ser violentamente arremessada pela janela, ninguém acredita nele quando diz que ""Chucky"", o boneco que ganhou de aniversário, foi o culpado! Até que as coisas começam a dar errado... mortalmente errado. E quando uma série de terríveis assassinatos leva um detetive de volta ao mesmo brinquedo, ele descobre que o verdadeiro terror tinha apenas começado – o boneco perturbado planeja transferir seu espírito mau para um ser vivo – o pequeno Andy.",https://image.tmdb.org/t/p/w500/pdnXDnuAWIc9pwobTQ5XknlcbbS.jpg,https://www.youtube.com/watch?v=PMHAPMGXQ9s,19
46,Cinema Paradiso,Giuseppe Tornatore,8.4,Drama,1988,Italiano,"Um diretor de cinema relembra como, em sua infância, se apaixonou pelo filmes no cinema de seu vilarejo e iniciou uma profunda amizade com o projetista.",https://image.tmdb.org/t/p/w500/kkmwHNAiCea2QGX6kgPmdDKaWyp.jpg,https://www.youtube.com/watch?v=S7GZlpJNOQ8,10
