Nome do filme,Diretor,Avaliação,Número de votos,Sinopse,Gênero,Ano de lançamento,Língua,Link para a capa,Trailer,Duração
Doutor Jivago,David Lean,7.545,1183,"A vida de um médico e poeta russo que, apesar de casado com outra pessoa, se apaixona pela esposa de um ativista político e passa por dificuldades durante a Primeira Guerra Mundial e depois na Revolução de Outubro.",Drama,1965,en,https://image.tmdb.org/t/p/w500/xG9sb3Hq8SUy6hOq3AYHbBzVFKf.jpg,,197
Repulsa ao Sexo,Roman Polanski,7.406,1026,"Carol Ledoux é uma manicure tímida, virgem e sexualmente reprimida. É constantemente assediada por um homem apaixonado. Quando sua irmã viaja com o namorado, fica sozinha em casa. Solitária, perturbada e gradativamente alucinada, revela um lado obscuro de seu comportamento, movida pelo sofrimento e por sua repulsa à sexualidade.",Drama,1965,en,https://image.tmdb.org/t/p/w500/2raMhLRcEbVOHqgOoh6mWNNWdpH.jpg,,105
Três Homens em Conflito,Sergio Leone,8.462,8981,"Durante o auge da Guerra Civil, um misterioso pistoleiro vaga pela fronteira do oeste. Ele não possui um lar, lealdade ou companhia... Até que encontra dois estrangeiros, que são tão brutos e desapegados quanto ele. Unidos pelo destino, os três homens juntam suas forças para tentar encontrar uma fortuna em ouro roubado. Mas trabalho em equipe não é uma coisa natural para voluntariosos pistoleiros, e eles logo descobrem que seu maior desafio é concentrar-se em sua perigosa missão — e em manterem-se vivos — atravessando um país arrasado pela guerra.",Faroeste,1966,it,https://image.tmdb.org/t/p/w500/bHwIzQrbJKiFwArLLngS1Ej6xPc.jpg,,163
Quando Duas Mulheres Pecam,Ingmar Bergman,8.156,2247,"Uma atriz teatral de sucesso sofre uma crise emocional e para de falar. Uma enfermeira é designada a cuidar dela em uma casa reclusa, perto da praia, onde as duas permanecem sozinhas. Para quebrar o silêncio, a enfermeira começa a falar incessantemente, narrando diversos episódios relevantes de sua vida, mas quando descobre que a atriz usa seus depoimentos como fonte de análise, a cumplicidade entre as duas se transforma em embate.",Drama,1966,sv,https://image.tmdb.org/t/p/w500/pMlIFOHnNDa3X0kSpjASn75KAYd.jpg,https://www.youtube.com/watch?v=zLcqDNzFDA0,85
Batman: O Homem Morcego,Leslie H. Martinson,6.414,976,"Em Gotham City, Charada, Pinguim, Coringa e Mulher-Gato roubam uma invenção secreta e planejam usá-la de forma maléfica. Além disto, planejam também destruir o Homem-Morcego e o Menino-Prodígio.",Ação,1966,en,https://image.tmdb.org/t/p/w500/ocfATpIo0O4JYaDc5jpyePPG87k.jpg,,105
A Grande Escapada,Gérard Oury,7.93,1380,"Em 1942, um avião da Royal Air Force é abatido sobre uma Paris ocupada pelo exército nazi. Os três pilotos saltam em para-quedas: Peter Cunningham cai nos andaimes de Augustin Bouvet, um pintor da construção civil que está a trabalhar na fachada do comando alemão, Alan Macintosh aterra no telhado da Ópera, durante o ensaio da orquestra, dirigida por Stanislas LeFort, e Sir Reginald mergulha no tanque das focas, no Jardim Zoológico de Vincennes. Enquanto a polícia alemã se lança à sua procura, Stanislas e Augustin ocupam-se dos ingleses, lançando-se nas mais extraordinárias aventuras, para os conduzirem para a zona livre.",Comédia,1966,fr,https://image.tmdb.org/t/p/w500/835Yw9f0gYyR8RSsDKL34VEgCjL.jpg,,132
Blow-Up: Depois Daquele Beijo,Michelangelo Antonioni,7.331,1283,"Em Londres, o fotógrafo Thomas está indo trabalhar quando decide fotografar um casal no parque. Mais tarde, a mulher fotografada bate em sua porta e exige os negativos das imagens, mas Thomas não dá. Para sua surpresa, ao revelar o material, ele descobre que pode estar diante das provas de um crime.",Drama,1966,en,https://image.tmdb.org/t/p/w500/hy90gZspCIfA43R9Oo3SrTkmBno.jpg,https://www.youtube.com/watch?v=CW_6CJy9TPw,112
Como o Grinch Roubou o Natal,Chuck Jones,7.485,1058,"Esta obra idealizada pelo famoso Dr.Seuss, apresenta-nos o infame Grinch, um ser amargurado e irritadiço que tem um coração com apenas metade do tamanho normal. A este ser, surge-lhe uma ideia, acabar com o Natal de uma vez por todas. Assim que chega disfarçado a Whoville, uma cidade que fica perto da sua cabana, conhece a pequena Cindy Lou Who, a única dos Who que tem as suas próprias dúvidas sobre o Natal. Juntos vão revolucionar a tranquila cidade de Whoville e o próprio Natal.",Animação,1966,en,https://image.tmdb.org/t/p/w500/7ir0iRuPK9OEuH569cp0nF5CJce.jpg,,26
Fahrenheit 451,François Truffaut,7.105,999,"Em um Estado totalitário num futuro próximo, os “bombeiros” têm como função principal queimar todo e qualquer tipo de material impresso, principalmente livros, pois foi convencionado que literatura é propagadora da infelicidade. Um dos bombeiros começa a se qustionar sobre essa sua tarefa.",Drama,1966,en,https://image.tmdb.org/t/p/w500/kMNRZ4wsfSlPfzGBmAoFxVpZeMi.jpg,,113
Mogli: O Menino Lobo,Wolfgang Reitherman,7.3,6353,"Mogli, um garoto criado por lobos e que vive na selva, é convencido pelo seu amigo Baguera, uma velha e esperta pantera, a buscar segurança no mundo dos homens. Mas Mogli, resistindo à ideia de seu amigo, resolve seguir a filosofia do urso Balu, que gosta de curtir a vida e ser feliz, fazendo o que gosta. Juntos, dão início a uma grande jornada em direção à civilização e encontram no meio do caminho um orangotango maluco, uma cobra com poder de hipnotizar e Shere Khan, um tigre ameaçador.",Família,1967,en,https://image.tmdb.org/t/p/w500/bE8VhvokXPOPT02s9ZrzTlWmM63.jpg,,78
