Nome do filme,Diretor,Ano de lançamento,Língua,Sinopse,Link para a capa,Trailer
Ace Ventura: Um Detetive Diferente,Tom Shadyac,1994,en,"Ace Ventura é um detetive especializado em desvendar crimes envolvendo animais. Vive cercado de bichos, mas não tem muito trabalho. O desaparecimento de um golfinho, mascote da equipe de futebol americano Miami Dolphins, aparentemente sequestrado, torna-se seu primeiro grande caso. Atrapalhado como ",https://image.tmdb.org/t/p/w500/4YOIHjTJa89LEFmrP8eEmJT2ggp.jpg,https://www.youtube.com/watch?v=ZGlFA-miRLw
Dança com Lobos,Kevin Costner,1990,en,"Durante a Guerra Civil, um jovem soldado pratica uma ato ousado, é considerado herói e vai servir por sua escolha em um lugar com forte predominância do povo Sioux. Com o tempo, ele assimila os costumes dos nativos, acontecendo uma aculturação às avessas.",https://image.tmdb.org/t/p/w500/rhdrY0b7AftFnA6yaQXWLVHxDag.jpg,https://www.youtube.com/watch?v=8ZcT9OGsmFA
O Pequeno Stuart Little,Rob Minkoff,1999,en,"Divirta-se com a família Little, que adota Stuart, um adorável e falante garotinho que se parece muito com um rato. O Sr. e a Sra. Little se apaixonam por Stuart na hora, mas seu filho mais velho George não está muito certo do que fazer com seu novo irmão, e o gato da família, Snowbell, arquiteta um",https://image.tmdb.org/t/p/w500/oRaBrLCeOPv96RDuAoA0Tjf1bH1.jpg,https://www.youtube.com/watch?v=EHgOTJ95-iE
Louca Obsessão,Rob Reiner,1990,en,"Depois de terminar seu mais novo manuscrito, o escritor de sucesso, Paul Sheldon, decide sair para comemorar. O problema é que está nevando demais e Paul acaba sofrendo um terrível acidente. Ele é salvo e abrigado por uma ex-enfermeira chamada Annie Wilkes, que se auto-intitula sua fã número um. Apa",https://image.tmdb.org/t/p/w500/uOqA7w49sMfmXpkQXnDuDJRGFx4.jpg,https://www.youtube.com/watch?v=VESCIlSfsVM
Ace Ventura 2: Um Maluco na África,Steve Oedekerk,1995,en,"Depois de não conseguir salvar um guaxinim, Ace Ventura (Jim Carrey) impôs a si mesmo um exílio entre monges no Himalaia. Ele acaba deixando seu retiro espiritual para tentar encontrar o grande morcego branco sagrado, que foi prometido como dote a uma princesa de uma tribo africana. Caso o animal nã",https://image.tmdb.org/t/p/w500/ai9kRyLHUIdmvWKHTl4NSi0Ghsw.jpg,https://www.youtube.com/watch?v=PzDjSjwnl1c
O Colecionador de Ossos,Phillip Noyce,1999,en,"A policial Amelia Donaghy está na perseguição de um assassino em série cujo cartão de visita é um pequeno pedaço de osso extraído de cada uma de suas vítimas. Incapaz de decifrar as pistas enigmáticas que o assassino deixa para trás na cena do crime, Amelia apela para o tetraplégico especialista em ",https://image.tmdb.org/t/p/w500/sljvAAegS4up3fT4P51UNwVmNvu.jpg,https://www.youtube.com/watch?v=VHAZ6ouxUak
O Silêncio dos Inocentes,Jonathan Demme,1991,en,"Clarice Starling é uma das melhores estudantes da academia de treinamento do FBI. Jack Crawford quer que Clarice entreviste o Dr. Hannibal Lecter, um psiquiatra brilhante e também um psicopata violento, que cumpre prisão perpétua por vários atos de assassinato e canibalismo. Crawford acredita que Le",https://image.tmdb.org/t/p/w500/paGUSTwcFrAxpGV1hSQ2wsI28id.jpg,https://www.youtube.com/watch?v=8Qsq6DrYDxE
"Jogos, Trapaças e Dois Canos Fumegantes",Guy Ritchie,1998,en,"Eddy convence três amigos a ajudá-lo com dinheiro para uma aposta muito alta de pôquer contra o chefão do crime local, Hatchet Harry. Harry trapaceia, e Eddy perde. Harry, então, dá um prazo a ele de uma semana para pagar 500 mil libras ou entregar o bar de seu pai. Desesperado, Eddy e seus amigos c",https://image.tmdb.org/t/p/w500/4qu5iaezyfO0aaoJZIX54nYLEcN.jpg,https://www.youtube.com/watch?v=K1bAsDEpl68
Premonição,James Wong,2000,en,"Pouco antes de decolar no vôo 180 para Paris, Alex experimenta a angustiante visão do avião transformando-se numa bola de fogo gigante em pleno vôo. Em pânico, o estudante é retirado da aeronave com uma professora e alguns colegas de classe. Irritado e decepcionado, o grupo assiste seu vôo partir. É",https://image.tmdb.org/t/p/w500/fDsQOdnVrzCKCyzgMhNdBkrRy4F.jpg,https://www.youtube.com/watch?v=yLnvUdKGIXY
Triplo X,Rob Cohen,2002,en,"O ex-atleta de esportes extremos Xander ""XXX"" Cage, famoso por suas acrobacias que desafiam a morte, é convencido de que pode ter sucesso em ações que espiões convencionais falharam. Xander é recrutado pelo agente Gibbons para se tornar um tipo diferente de agente secreto. Agora, em uma perigosa mis",https://image.tmdb.org/t/p/w500/lpmyeqSR2Pc7ytfTp1ScD3ferX4.jpg,https://www.youtube.com/watch?v=7LDoxchQksM
