id,Title,Director,Vote_Average,Genre,Year,Original_Language,Overview,Poster_Url,Trailer,Price
591,Príncipe da Pérsia: As Areias do Tempo,Mike Newell,6.3,Aventura,2010,Inglês,"Na cidade sagrada de Alamut ficam as Areias do Tempo, que dá aos mortais o poder de voltar ao passado. Após liderar um ataque à cidade, Dastan, o filho adotivo do rei da Pérsia, consegue uma adaga que lhe dá acesso às Areias. Dastan foge com uma princesa Alamut chamada Tamina após ser acusado de matar o pai. O casal precisa proteger o tesouro antigo e desmascarar o assassino do rei.",https://image.tmdb.org/t/p/w500/nJxserrGJEJSBzLRs4YMMN0OakZ.jpg,https://www.youtube.com/watch?v=l5wMQU29hNU,18
592,Azul É A Cor Mais Quente,Abdellatif Kechiche,7.077,Romance,2013,Francês,"Adèle é uma garota de 15 anos que descobre, na cor azul dos cabelos de Emma, sua primeira paixão por outra mulher. Sem poder revelar a ninguém seus desejos, ela se entrega por completo a este amor secreto, enquanto trava uma guerra com sua família e com a moral vigente.",https://image.tmdb.org/t/p/w500/ao3vG9cD1pORpQu6I7KmOiqHIrA.jpg,https://www.youtube.com/watch?v=lU5jrPnGAjU,18
593,As Aventuras de Tintim,Steven Spielberg,6.901,Aventura,2011,Inglês,"Tintim é um jovem repórter que tem um histórico impressionante de aventuras. Certo dia, ao comprar a miniatura de uma embarcação, ele se vê perseguido pelo misterioso Sakharine, que parece determinado a possuir o objeto e não demora muito até que o herói se veja preso no barco que antes pertencia ao alcóolatra Capitão Haddock, agora também prisioneiro. Sempre acompanhado pelo cãozinho Milu, Tintim se alia ao capitão numa jornada que os levará a diversos locais exóticos.",https://image.tmdb.org/t/p/w500/lSzqfKyzb7nRCZ3qihPhdspZeMA.jpg,https://www.youtube.com/watch?v=rAWkI-ngfxo,15
594,Dose Dupla,Baltasar Kormákur,6.537,Ação,2013,Inglês,"Bobby e Stig são dois agentes à paisana escalados para roubar um banco que serve de fachada para Máfia. O detalhe é que um não sabe da real identidade do outro. Quando eles descobrem, o mandande da tarefa demite ambos, deixando a dupla a mercê dos bandidos.",https://image.tmdb.org/t/p/w500/u5X9qjUfIZDmlVJXJ7xJVyyHZFa.jpg,https://www.youtube.com/watch?v=qD2Ygt1Muvg,11
595,Par Perfeito,Robert Luketic,5.957,Ação,2010,Inglês,"Jen, conhece o homem perfeito. Seu nome é Spencer, ele é bonitão, educado e inteligente. Mas o que Jen não sabe, é que Spencer ganha a vida como matador de aluguel, contratado pelo governo. Eles vivem o casamento dos sonhos até que em uma bela manhã, o casal descobre que Spencer é o alvo de um golpe milionário. O que parecia ser um Par Perfeito transforma -se num jogo de vida ou morte, enquanto eles tentam lidar com sogros, sogras, casamento, manter as aparências e ainda sobreviver.",https://image.tmdb.org/t/p/w500/9xFcKDY9RFUidat3VU8QIlSrZmf.jpg,https://www.youtube.com/watch?v=Xn-MRAqsBGM,14
596,Alvin e os Esquilos 3,Mike Mitchell,5.701,Comédia,2011,Inglês,"Os irmãos Alvin, Simon e Theodore partem em uma viagem de cruzeiro juntamente com Dave e as esquiletes, formadas por Eleanor, Jeanette e Brittany. Durante a viagem Alvin quer se divertir, enquanto que Dave tenta ter algum controle sobre os esquilos. Numa de suas brincadeiras Alvin acaba em uma asa delta, que o leva, juntamente com os irmãos e as esquiletes, para uma ilha. Dave parte atrás deles usando outra asa delta e acaba carregando consigo Ian, o ex-empresário dos esquilos que agora trabalha vestindo a roupa de um pelicano, para entreter os passageiros do cruzeiro.",https://image.tmdb.org/t/p/w500/1yk43x6M0PAq7tVsksOIcWi9k3Y.jpg,https://www.youtube.com/watch?v=ZOxggyQGaU8,12
597,Como Não Perder Essa Mulher,Joseph Gordon-Levitt,6.012,Romance,2013,Inglês,"Jon é um cara sedutor que não se prende a ninguém. Seu corpo, casa, carro, família, amigos, mulheres e vídeos pornôs são as únicas coisas que lhe interessam. Mas, quando conhece Barbara, ele percebe que terá que mudar seus hábitos.",https://image.tmdb.org/t/p/w500/4dttvJwD6ay2JXbz2V3BmYkHJrn.jpg,https://www.youtube.com/watch?v=CnZecqXrrYE,14
598,Os Miseráveis,Tom Hooper,7.318,História,2012,Inglês,"Na França do século 19, o ex-prisioneiro Jean Valjean, perseguido ao longo de décadas pelo impiedoso policial Javert por ter violado sua liberdade condicional, busca redenção pelo seu passado e decide acolher a filha da prostituta Fantine.",https://image.tmdb.org/t/p/w500/BNYPwiysQXdFdNy41PDDIIjW5D.jpg,https://www.youtube.com/watch?v=KZ86F93gMe8,17
599,Lanterna Verde,Martin Campbell,5.173,Aventura,2011,Inglês,"Hal Jordan, um vaidoso piloto de testes, recebe um poderoso anel e é recrutado por um esquadrão intergaláctico chamado Lanterna Verde para lutar contra um feroz inimigo que ameaça acabar com o equilíbrio do universo.",https://image.tmdb.org/t/p/w500/xfZ1p8nNavu5sbLcyrB1FgOYK23.jpg,https://www.youtube.com/watch?v=bkaYRttQ8CA,20
600,O Legado Bourne,Tony Gilroy,6.231,Ação,2012,Inglês,"Eric Byer é encarregado de apagar os rastros que possam incriminar o governo em projetos sigilosos. Um deles é o Outcome, projeto que pretende suprimir a dor e aumentar a sensibilidade, inteligência e força dos agentes por meio de remédios. Com o fim do Outcome, os agente passam a ser eliminados a mando do próprio governo. No entanto, Aaron Cross consegue escapar e vai à casa da Dra. Martha Shearing atrás de respostas. Juntos, eles precisam sobreviver enquanto Aaron sofre da abstinência forçada.",https://image.tmdb.org/t/p/w500/7O6OtPHpTMGnu9PEyFjrxVTyOHT.jpg,https://www.youtube.com/watch?v=GCpeTw6iKcA,10
601,O Sétimo Filho,Sergei Bodrov,5.52,Aventura,2014,Inglês,"Em uma época de encantamentos, quando lendas e magia se chocam, o único guerreiro que restou de uma ordem mística viaja para encontrar um profético herói, nascido com poderes incríveis, o Sétimo Filho. Retirado de sua vida calma como fazendeiro, o improvável jovem herói entra em uma desafiadora aventura, junto com seu mestre e mentor, para vencer uma poderosa feiticeira e seu exército de assassinos sobrenaturais que vão atacar seu reino.",https://image.tmdb.org/t/p/w500/wO28QCMDZ55MiWJCBw4YABftiY2.jpg,https://www.youtube.com/watch?v=hDZr3mUsieU,20
