Nome do filme,Diretor,Avaliação,Número de votos,Sinopse,Gênero,Ano de lançamento,Língua,Link para a capa,Trailer,Duração
O Menino que Descobriu o Vento,Chiwetel Ejiofor,7.9,1721,"Inspirado por um livro de ciências, um garoto constrói uma turbina eólica para salvar seu vilarejo da fome. Baseado em uma história real.",Drama,2019,en,https://image.tmdb.org/t/p/w500/jZofpz4gmiH7MQAYWrgvTtdIq3l.jpg,https://www.youtube.com/watch?v=OBprnlpM744,113
Amigos para Sempre,Neil Burger,7.138,1312,"Um jovem negro aceita trabalhar para um homem branco paraplégico e acaba dando início a uma grande e inusitada amizade. Versão americana de ""Intocáveis"", filme francês de 2012 que fez grande sucesso mundial.",Comédia,2019,en,https://image.tmdb.org/t/p/w500/p4aTmyNu6TMi2uscX81MDHJxMAg.jpg,https://www.youtube.com/watch?v=t0efdpVofHM,126
A Hora da Sua Morte,Justin Dec,6.238,2167,"Uma jovem enfermeira baixa um aplicativo que promete prever o momento e a data da morte das pessoas. Quando o aplicativo indica que ela tem três dias de vida restantes, a enfermeira luta por sua sobrevivência ao mesmo tempo em que enfrenta uma misteriosa criatura que a assombra.",Terror,2019,en,https://image.tmdb.org/t/p/w500/hpJp4wp7Qf60LELHYDg0larbPEk.jpg,https://www.youtube.com/watch?v=dKRgaESrOa4,90
Polar,Jonas Åkerlund,6.324,2285,Um assassino prestes a se aposentar precisa adiar a boa vida quando seu chefe ganancioso envia um bando de matadores jovens e cruéis para exterminá-lo.,Ação,2019,en,https://image.tmdb.org/t/p/w500/2btxGF270fxOeNJInRNnFtZGkAA.jpg,https://www.youtube.com/watch?v=oMHwRal-AR8,118
Mistério no Mediterrâneo,Kyle Newacheck,6.271,4532,"Numa aguardada viagem à Europa, um policial de Nova York e sua esposa cabeleireira tentam solucionar um caso de assassinato a bordo do iate de um bilionário.",Ação,2019,en,https://image.tmdb.org/t/p/w500/eygXgrzMaAzWTR7V0H5JYrO6RVf.jpg,https://www.youtube.com/watch?v=ZewCCWbPlsY,97
O Rei,David Michôd,7.161,3322,"Com o controle da Inglaterra em jogo, o rebelde príncipe Hal enfrenta hostilidades de todos os lados e tem que largar a farra para lutar pelo reino.",Drama,2019,en,https://image.tmdb.org/t/p/w500/7CB2XSUPKlBKjeJWyHOjgWhKacO.jpg,https://www.youtube.com/watch?v=sLBLa5-W3IQ,140
Klaus,Sergio Pablos,8.238,4265,"Em Smeerensburg, remota ilha localizada acima do Círculo Ártico, Jesper é um estudante da Academia Postal que enfrenta um sério problema: os habitantes da cidade brigam o tempo todo, sem demonstrar o menor interesse por cartas. Prestes a desistir da profissão, ele encontra apoio na professora Alva e no misterioso carpinteiro Klaus, que vive sozinho em sua casa repleta de brinquedos feitos a mão.",Animação,2019,en,https://image.tmdb.org/t/p/w500/guyZW9AQdTMp2F4esttjyIMMK1k.jpg,https://www.youtube.com/watch?v=taE3PwurhYM,97
Togo,Ericson Core,8.14,2092,"A história de um homem e sua equipe de cães puxadores de trenó liderados pela cadela Togo, que transportaram remédios para a população do Alasca a fim de combater uma epidemia durante a década de 20. Togo, que liderou a Grande Corrida da Misericórdia ou Corrida do Soro de 1925, era considerada pela maioria das pessoas como pequena e fraca demais para liderar uma corrida tão difícil.",Aventura,2019,en,https://image.tmdb.org/t/p/w500/tCCgIgIqNHZCxKgZKTqv1LzxuwI.jpg,https://www.youtube.com/watch?v=HMfyueM-ZBQ,113
Milagre na Cela 7,Mehmet Ada Öztekin,8.3,4455,"Separado de sua filha, um homem com deficiência intelectual precisa provar sua inocência ao ser preso pela morte da filha de um comandante.",Drama,2019,tr,https://image.tmdb.org/t/p/w500/q5Sj4pMaKpdMyywQIJhexNvCZYz.jpg,https://www.youtube.com/watch?v=G2wPoBy2JQI,132
Viveiro,Lorcan Finnegan,6.0,2230,"Na esperança de encontrar o lugar perfeito para morar, um jovem casal acompanha um estranho corretor de imóveis até um bairro misterioso repleto de casas idênticas. Ao tentarem sair do local, eles percebem que estão presos em um labirinto surreal que misteriosamente os leva de volta para onde começaram.",Ficção científica,2019,en,https://image.tmdb.org/t/p/w500/9XrDnB08bFBQwvXg3oluQyhGHsW.jpg,https://www.youtube.com/watch?v=U3Xy2x9NDrw,97
A Família Addams,Conrad Vernon,6.611,2372,"Para ir de mal a pior, a Família Addams precisa se preparar para receber uma visita de parentes ainda mais arrepiantes. Mas a misteriosa mansão deles parece estar com os dias de maldade contados. Prepare-se para estalar os dedos! O clã assustador mais querido dos cinemas está de volta nessa animação baseada nos quadrinhos de Charles Addams.",Família,2019,en,https://image.tmdb.org/t/p/w500/mDCIHb6BJ27PhdAz36JWc4chKlb.jpg,https://www.youtube.com/watch?v=c95edsw17QE,87
